ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,99.000000,0.60856240,4.3792044,7.1959826,433.54124,9.0470000
1,169.00000,0.78566605,6.5011084,8.2746460,1098.6873,9.0470000
2,30.000000,0.83562148,2.8248181,3.3804996,84.744543,9.0470000
3,53.000000,0.51480708,2.9470347,5.7245420,156.19284,9.0470000
4,73.000000,0.60973463,3.7640633,6.1732812,274.77662,9.0470000
5,108.00000,0.59308492,4.5153912,7.6133974,487.66225,9.0470000
6,60.000000,0.66109243,3.5532992,5.3748902,213.19795,9.0470000
7,43.000000,0.66557606,3.0182704,4.5348241,129.78563,9.0470000
8,53.000000,0.60173478,3.1861451,5.2949327,168.86569,9.0470000
9,109.00000,0.44380861,3.9240648,8.8417952,427.72307,9.0470000
10,34.000000,0.83600747,3.0079430,3.5979858,102.27006,9.0470000
11,28.000000,0.93855455,2.8922367,3.0815862,80.982629,9.0470000
12,80.000000,0.57453417,3.8249696,6.6575146,305.99757,9.0470000
13,111.00000,0.77144672,5.2208296,6.7675829,579.51209,9.0470000
14,54.000000,0.55518773,3.0891704,5.5641908,166.81520,9.0470000
15,56.000000,0.51602349,3.0328701,5.8773877,169.84073,9.0470000
16,124.00000,0.63366717,5.0011112,7.8923312,620.13779,9.0470000
17,69.000000,0.38136379,2.8941387,7.5889184,199.69557,9.0470000
18,28.000000,0.87651011,2.7950047,3.1887878,78.260132,9.0470000
19,175.00000,0.59642317,5.7639651,9.6642206,1008.6939,9.0470000
20,130.00000,0.72099562,5.4621428,7.5758336,710.07857,9.0470000
21,209.00000,0.45183523,5.4826213,12.134117,1145.8679,9.0470000
22,108.00000,0.67650397,4.8224986,7.1285593,520.82985,9.0470000
23,30.000000,0.75007566,2.6763212,3.5680683,80.289635,9.0470000
24,70.000000,0.77093836,4.1446123,5.3760618,290.12286,9.0470000
25,78.000000,0.50496118,3.5407997,7.0120236,276.18238,9.0470000
26,121.00000,0.43691309,4.1021853,9.3890190,496.36443,9.0470000
27,30.000000,0.85456567,2.8566591,3.3428198,85.699772,9.0470000
28,44.000000,0.76777974,3.2792137,4.2710345,144.28540,9.0470000
29,56.000000,0.75418658,3.6665573,4.8616051,205.32721,9.0470000
30,51.000000,0.81581476,3.6392001,4.4608166,185.59920,9.0470000
31,116.00000,0.66014026,4.9371028,7.4788694,572.70392,9.0470000
32,52.000000,0.79096786,3.6183132,4.5745388,188.15229,9.0470000
33,31.000000,0.71181278,2.6502619,3.7232571,82.158120,9.0470000
34,26.000000,0.79786289,2.5696612,3.2206802,66.811192,9.0470000
